model,strategy,fold,n_train,n_test,accuracy,precision_macro,recall_macro,f1_macro,auc_roc
RandomForest,SD_5fold,2,12083,3021,0.8056934789804701,0.812044194883462,0.7890935908808379,0.7949336559824792,0.8932178967770985
RandomForest,SD_5fold,3,12083,3021,0.7974180734856008,0.8061924268011087,0.7788451191494628,0.7849650008048465,0.882316029893629
RandomForest,SD_5fold,4,12084,3020,0.8092715231788079,0.8236833018442595,0.7889714978791342,0.7961574211438864,0.8910180559650107
XGBoost,SD_5fold,0,12083,3021,0.8182720953326713,0.818766509196717,0.8069633706960186,0.8109637942442132,0.9045336600512859
XGBoost,SD_5fold,1,12083,3021,0.8113207547169812,0.8125727789574628,0.798779426814491,0.8031632963795132,0.8986875373903402
XGBoost,SD_5fold,2,12083,3021,0.8156239655743132,0.8140179254513087,0.8062942685933698,0.8092077521181696,0.8983624039959567
XGBoost,SD_5fold,3,12083,3021,0.8321747765640516,0.8341888527102088,0.8207485244190489,0.8252349915912038,0.90556595770629
XGBoost,SD_5fold,4,12084,3020,0.821523178807947,0.8259765862866886,0.8074651873330488,0.8128816227792927,0.8988284420823925
LightGBM,SD_5fold,0,12083,3021,0.8477325388944058,0.8479650672877418,0.838893039633985,0.8423342061910878,0.9248210869411181
LightGBM,SD_5fold,1,12083,3021,0.8328368090036412,0.8347426401912803,0.8214580416475697,0.8259243999083984,0.9199813081932717
LightGBM,SD_5fold,2,12083,3021,0.8427672955974843,0.841727073036793,0.8348838085363437,0.8376173489704704,0.9219832329829666
LightGBM,SD_5fold,3,12083,3021,0.8421052631578947,0.841922934351996,0.8333447667317697,0.8366105884387198,0.9196330731002175
LightGBM,SD_5fold,4,12084,3020,0.8354304635761589,0.8404109822905443,0.822101472199001,0.8276667173009209,0.9212872284526721
